Feature,Importance
ApprovalProbAuto,0.1620354895803768
ProbAuto,0.07811121212029122
AutoBalance,0.07062642628520989
LowLikelihoodExpectedDenial,0.05019087239799045
DontKnowHow,0.0362683748850172
Obtain2000Prob,0.034313450910641745
NoNeed,0.03378341508511163
ExpectedDenial,0.03132184566023257
RequestedRefi,0.030357769835374034
RatesTooHigh,0.030213102927099496
MortgageBalance,0.029555395940161072
CCBalance,0.028610585794371028
ApprovalProbCC,0.024513659850357455
TooTimeConsuming,0.02356650603479059
Late30Days,0.023186193843622332
RequestedCCLimit,0.02272261395371624
LowLikelihoodNoNeed,0.022621710983146144
NeededStudent,0.021361403901698266
Need2000Prob,0.020637033177666787
ProbRefi,0.020531809512917484
ProbMortgage,0.020352705230505853
MaxedOutCC,0.019366739643937623
LowLikelihoodDontKnowHow,0.019106604718803627
IntentionAuto,0.016055901890641086
LastScoreCheck,0.013843091633025726
NeededMortgage,0.012372302674680213
ProbCCLimit,0.011691476059760866
IntentionRefi,0.011614228491847269
IntentionQuestionFormat,0.010542026423947476
LowLikelihoodTimeConsuming,0.009785818362096103
ProbStudent,0.008995968257559167
IntentionMortgage,0.008633426540119527
IntentionCC,0.0071743329446425546
ProbCC,0.005781695838345239
LowLikelihoodRatesTooHigh,0.005392600908824942
IntentionCCLimit,0.004698802160010828
ClosedByLender,0.004496533118211749
NoChanges,0.004038841868274492
IntentionStudent,0.003924306493168323
LimitReduced,0.0022951304081023894
ClosedVoluntary,0.002231355504697649
AppliedStudent,0.0019951113968804156
AppliedCC,0.0005512745284470543
AppliedMortgage,0.0005308522236773925
AppliedAuto,0.0
